"","X0","Divergencetimes * -1"
"1",0,-42.466681
"2",38.2701800563156,-35.813802
"3",74.3945874233023,-28.311717
"4",98.4693820954498,-26.694033
"5",112.255288547821,-26.252778
"6",131.744611736808,-23.312089
"7",131.744611736808,-22.770897
"8",138.846597120568,-17.477483
"9",146.707099167065,-15.999702
"10",147.474392143301,-14.832142
"11",151.614741263027,-14.49993
"12",160.701866793223,-14.391577
"13",185.299526387418,-13.785401
"14",186.188493835394,-12.730938
"15",190.64091360884,-11.860742
"16",190.64091360884,-11.741002
"17",213.534396593577,-11.031396
"18",237.504822040875,-10.999325
"19",264.17251256321,-10.238128
"20",289.727203840177,-10.164897
"21",289.727203840177,-9.691631
"22",295.502309411305,-9.108961
"23",295.502309411305,-7.69798
"24",301.515622311551,-7.283005
"25",301.515622311551,-6.735669
"26",302.503347411786,-6.58736
"27",302.503347411786,-6.066991
"28",312.582435072221,-5.519173
"29",312.582435072221,-3.738035
"30",312.582435072221,-2.19141200000001
"31",312.582435072221,-2.183089
